"ID","CODIGO DE LA ENTIDAD","CODIGO UBIGEO INEI","CODIGO PAIS ","NOMBRE DE LA UO","Fecha","CO (ug/m3)","H2S (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 
(ug/m3)","PM2.5 
(ug/m3)","SO2 (ug/m3)","Ruido (dB)","UV","Humedad (%)","Latitud","Longitud","Presion 
(Pa)","Temperatura (C)"
"1","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 0:00","175.58","0.35","23.64","0.00","1.70","1.13","0.00","87.80","0.00","86.41","-12.07274","-77.08269","1000.12","20.72"
"2","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 1:00","155.95","0.78","23.11","0.00","2.00","1.22","0.00","84.06","0.00","86.08","-12.07274","-77.08269","999.42","20.78"
"3","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 2:00","104.55","0.09","23.19","0.00","1.64","1.05","0.00","98.83","0.00","87.62","-12.07274","-77.08269","999.13","20.21"
"4","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 3:00","65.98","0.02","23.15","0.00","1.62","1.00","0.00","76.20","0.00","87.90","-12.07274","-77.08269","998.59","20.09"
"5","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 4:00","59.78","0.09","23.45","0.00","1.75","1.04","0.00","84.42","0.00","88.68","-12.07274","-77.08269","998.77","20.03"
"6","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 5:00","73.51","0.18","23.74","0.00","1.77","1.06","0.00","90.81","0.00","88.58","-12.07274","-77.08269","999.17","20.22"
"7","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 6:00","172.57","2.42","24.70","0.00","2.14","1.25","0.00","94.49","0.00","89.82","-12.07274","-77.08269","1000.03","20.12"
"8","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 7:00","744.81","21.48","26.71","0.15","2.42","1.49","0.00","105.57","0.11","89.56","-12.07274","-77.08269","1000.71","20.22"
"9","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 8:00","1337.83","39.77","25.34","0.50","2.10","1.38","0.00","109.96","0.28","86.14","-12.07274","-77.08269","1001.40","21.16"
"10","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 9:00","1135.85","34.26","22.58","0.61","1.75","1.21","0.00","111.64","0.42","83.21","-12.07274","-77.08269","1001.46","21.61"
"11","10069","150122","PE","Subgerencia de Desarrollo Ambiental","2/1/2021 10:00","1153.41","34.08","19.56","0.00","1.58","1.09","0.00","110.75","0.52","77.27","-12.07274","-77.08269","1001.71","23.23"
