"ID","CODIGO DE LA ENTIDAD","CODIGO UBIGEO INEI","CODIGO PAIS ","NOMBRE DE LA UO","Fecha","CO (ug/m3)","H2S (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 
(ug/m3)","PM2.5 
(ug/m3)","SO2 (ug/m3)","Ruido (dB)","UV","Humedad (%)","Latitud","Longitud","Presion 
(Pa)","Temperatura (C)"
"1","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 0:00","156.03","-","114.27","57.43","56.78","13.89","-","87.02","0.00","93.07","-12.10972","-77.05194","1006.82","20.21"
"2","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 1:00","92.66","-","109.55","58.17","63.62","18.01","-","87.49","0.00","94.38","-12.10972","-77.05194","1006.62","20.22"
"3","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 2:00","83.91","-","105.47","56.37","54.57","13.83","-","80.37","0.00","94.63","-12.10972","-77.05194","1006.21","20.32"
"4","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 3:00","88.12","-","101.80","55.55","44.40","11.63","-","74.89","0.00","93.76","-12.10972","-77.05194","1005.59","20.36"
"5","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 4:00","65.20","-","101.61","57.18","72.31","14.01","-","74.35","0.00","94.53","-12.10972","-77.05194","1005.27","20.07"
"6","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 5:00","62.23","-","102.16","58.81","98.69","17.85","-","75.04","0.00","95.91","-12.10972","-77.05194","1005.32","19.73"
"7","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 6:00","84.15","-","102.32","56.35","63.55","13.97","-","77.41","0.00","95.73","-12.10972","-77.05194","1005.74","19.88"
"8","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 7:00","109.70","-","100.34","56.44","57.11","13.24","-","82.48","0.16","94.85","-12.10972","-77.05194","1006.38","19.93"
"9","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 8:00","163.42","-","93.47","59.51","59.30","15.08","-","84.91","0.56","93.87","-12.10972","-77.05194","1006.87","20.35"
"10","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 9:00","40.25","-","71.23","70.55","51.36","13.81","-","82.38","0.99","91.78","-12.10972","-77.05194","1007.23","20.52"
"11","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 10:00","34.48","-","48.38","76.19","37.81","10.25","-","82.52","1.92","87.13","-12.10972","-77.05194","1007.39","21.79"
"12","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 11:00","63.03","-","16.64","89.52","26.12","7.25","-","83.17","2.37","80.23","-12.10972","-77.05194","1007.10","23.43"
"13","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 12:00","34.12","-","13.78","85.93","13.93","4.79","-","85.04","3.03","76.65","-12.10972","-77.05194","1006.72","24.20"
"14","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 13:00","21.85","-","21.90","101.12","8.75","3.73","-","88.42","2.51","78.95","-12.10972","-77.05194","1006.22","23.37"
"15","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 14:00","59.72","-","50.38","80.10","10.63","4.38","-","88.11","1.41","80.65","-12.10972","-77.05194","1005.70","23.17"
"16","10069","150122","PE","Subgerencia de Desarrollo Ambiental","1/1/2021 15:00","60.11","-","55.13","78.56","11.95","4.57","-","87.43","1.12","80.76","-12.10972","-77.05194","1005.32","23.10"
