"ID","CODIGO DE LA ENTIDAD","CODIGO UBIGEO INEI","CODIGO PAIS ","NOMBRE DE LA UO","Fecha","CO (ug/m3)","H2S (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 
(ug/m3)","PM2.5 
(ug/m3)","SO2 (ug/m3)","Ruido (dB)","UV","Humedad (%)","Latitud","Longitud","Presion 
(Pa)","Temperatura (C)"
"1","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 0:00","2180.36","64.90","35.93","15.14","7.07","2.93","33.32","74.78","0.00","96.10","-12.04028","-77.04361","1006.61","17.70"
"2","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 1:00","2134.30","63.03","30.30","16.17","4.68","2.00","33.84","74.38","0.00","96.10","-12.04028","-77.04361","1006.17","17.76"
"3","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 2:00","2125.15","65.74","30.70","9.97","5.17","2.31","33.48","60.01","0.00","96.10","-12.04028","-77.04361","1005.53","17.66"
"4","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 3:00","2196.51","71.34","33.01","5.40","10.79","4.84","34.12","62.34","0.00","96.10","-12.04028","-77.04361","1005.10","17.47"
"5","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 4:00","2226.47","74.84","32.17","4.72","10.36","5.13","34.46","67.25","0.00","96.10","-12.04028","-77.04361","1004.92","17.36"
"6","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 5:00","2609.20","77.31","31.87","3.00","10.04","4.88","36.20","80.67","0.00","96.10","-12.04028","-77.04361","1004.79","17.32"
"7","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 6:00","2554.22","73.46","32.30","6.71","7.90","4.21","37.36","72.85","0.00","96.10","-12.04028","-77.04361","1005.04","17.45"
"8","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 7:00","2702.55","75.03","32.34","9.48","12.04","5.79","38.19","85.08","0.03","96.10","-12.04028","-77.04361","1005.47","17.43"
"9","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 8:00","2718.41","75.55","29.14","16.94","8.94","3.72","37.81","83.63","0.17","96.10","-12.04028","-77.04361","1005.99","17.40"
"10","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 9:00","2583.81","93.81","25.68","20.04","136.98","13.55","36.26","87.40","0.42","96.10","-12.04028","-77.04361","1006.74","16.75"
"11","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 10:00","2733.46","93.28","23.18","26.09","125.78","12.66","37.59","86.93","0.61","96.10","-12.04028","-77.04361","1006.90","16.79"
"12","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 11:00","2792.74","57.31","16.03","38.56","6.08","1.50","39.36","91.61","1.03","96.10","-12.04028","-77.04361","1006.62","18.00"
"13","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 12:00","2841.28","33.22","13.34","40.67","2.89","1.31","40.10","90.93","1.50","96.10","-12.04028","-77.04361","1006.09","18.81"
"14","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 13:00","2904.81","35.22","16.02","40.92","2.62","1.35","40.38","91.30","1.74","96.05","-12.04028","-77.04361","1005.45","18.76"
"15","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 14:00","3260.62","14.35","11.95","51.46","2.09","1.14","46.01","92.08","2.11","93.33","-12.04028","-77.04361","1004.82","19.57"
"16","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 15:00","3038.03","13.21","14.39","35.32","2.02","1.27","44.89","90.75","1.73","92.46","-12.04028","-77.04361","1004.28","19.57"
"17","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 16:00","3047.03","24.33","20.94","26.54","1.84","1.03","43.87","87.53","0.77","93.05","-12.04028","-77.04361","1003.81","19.19"
"18","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 17:00","3199.35","57.68","35.99","19.68","5.01","1.85","40.75","90.64","0.34","95.87","-12.04028","-77.04361","1003.95","18.10"
"19","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 18:00","3217.63","85.93","46.69","11.28","11.89","3.14","38.75","97.14","0.06","96.10","-12.04028","-77.04361","1004.39","17.17"
"20","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 19:00","3343.13","86.24","44.88","19.53","4.22","2.14","39.09","88.64","0.00","96.10","-12.04028","-77.04361","1004.75","17.17"
"21","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 20:00","4028.89","80.09","42.55","22.03","6.72","3.11","43.06","93.66","0.00","96.10","-12.04028","-77.04361","1005.04","17.46"
"22","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 21:00","3843.73","73.48","38.61","19.46","7.75","3.55","42.71","85.36","0.00","96.10","-12.04028","-77.04361","1005.38","17.64"
"23","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 22:00","3017.24","85.27","36.28","18.44","8.21","3.66","38.35","91.97","0.00","96.10","-12.04028","-77.04361","1005.63","17.12"
"24","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/1/2021 23:00","2733.50","69.70","33.41","17.65","5.62","2.63","36.68","87.73","0.00","96.10","-12.04028","-77.04361","1005.50","17.61"
"25","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 0:00","2478.18","64.42","32.57","8.83","7.72","3.48","35.32","76.86","0.00","96.10","-12.04028","-77.04361","1005.29","17.75"
"26","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 1:00","2218.74","73.93","30.52","16.93","7.42","3.56","34.21","64.19","0.00","96.10","-12.04028","-77.04361","1004.98","17.39"
"27","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 2:00","2293.15","72.20","29.46","16.89","6.40","3.19","36.40","59.54","0.00","96.10","-12.04028","-77.04361","1004.90","17.45"
"28","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 3:00","2154.09","71.95","28.36","11.26","5.48","2.79","34.27","56.00","0.00","96.10","-12.04028","-77.04361","1004.64","17.44"
"29","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 4:00","2163.14","73.32","28.08","4.34","3.89","2.21","34.95","52.20","0.00","96.10","-12.04028","-77.04361","1004.55","17.40"
"30","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 5:00","2167.34","71.11","29.93","3.77","5.63","2.83","34.71","55.22","0.00","96.10","-12.04028","-77.04361","1004.15","17.47"
"31","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 6:00","2237.47","74.36","30.71","4.49","5.80","2.89","34.96","66.20","0.00","96.10","-12.04028","-77.04361","1004.47","17.38"
"32","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 7:00","2236.89","80.47","31.99","11.80","6.38","3.19","34.86","74.35","0.04","96.10","-12.04028","-77.04361","1004.94","17.18"
"33","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 8:00","2217.38","81.64","28.47","20.32","187.24","28.02","34.84","80.17","0.21","96.10","-12.04028","-77.04361","1005.29","17.13"
"34","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 9:00","2372.78","62.07","21.35","24.20","34.34","4.83","36.35","77.17","0.40","96.10","-12.04028","-77.04361","1005.32","17.79"
"35","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 10:00","2393.95","71.10","19.47","26.76","34.87","4.95","35.68","77.99","0.77","96.10","-12.04028","-77.04361","1005.66","17.48"
"36","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 11:00","2460.03","31.73","15.06","35.13","2.38","1.37","38.60","82.99","1.14","96.10","-12.04028","-77.04361","1005.46","18.80"
"37","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 12:00","2439.42","17.35","16.12","34.42","1.99","1.26","38.81","92.50","2.09","94.90","-12.04028","-77.04361","1005.00","19.36"
"38","10069","150122","PE","Subgerencia de Desarrollo Ambiental","5/2/2021 13:00","2559.73","17.77","13.93","37.98","1.74","1.14","40.58","91.45","2.16","93.33","-12.04028","-77.04361","1004.43","19.35"
