"ID","CODIGO DE LA ENTIDAD","CODIGO UBIGEO INEI","CODIGO PAIS ","NOMBRE DE LA UO","Fecha","CO (ug/m3)","H2S (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 
(ug/m3)","PM2.5 
(ug/m3)","SO2 (ug/m3)","Ruido (dB)","UV","Humedad (%)","Latitud","Longitud","Presion 
(Pa)","Temperatura (C)"
"1","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 0:00","2154.48","12.74","31.66","9.99","4.15","2.11","35.55","76.17","0.00","93.67","-12.04028","-77.04361","1000.76","19.57"
"2","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 1:00","2204.30","14.90","33.15","5.82","5.03","2.48","35.38","70.82","0.00","93.62","-12.04028","-77.04361","1000.26","19.49"
"3","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 2:00","2014.18","15.13","31.24","3.72","9.86","3.78","35.55","66.45","0.00","93.33","-12.04028","-77.04361","999.64","19.46"
"4","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 3:00","1940.33","19.62","30.06","3.42","7.58","3.04","35.27","65.51","0.00","94.05","-12.04028","-77.04361","999.26","19.29"
"5","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 4:00","1984.76","27.39","31.07","6.14","13.94","5.05","35.64","65.57","0.00","95.51","-12.04028","-77.04361","998.91","19.04"
"6","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 5:00","1956.01","35.32","32.05","9.11","15.44","5.51","35.36","61.98","0.00","96.10","-12.04028","-77.04361","999.00","18.77"
"7","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 6:00","2073.04","45.44","31.90","12.85","11.98","4.38","35.88","70.61","0.00","96.10","-12.04028","-77.04361","999.35","18.43"
"8","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 7:00","2192.57","49.16","32.80","15.47","14.29","4.74","35.55","80.97","0.03","96.10","-12.04028","-77.04361","999.85","18.32"
"9","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 8:00","2313.07","41.51","29.82","17.05","16.19","5.31","36.26","81.97","0.22","96.10","-12.04028","-77.04361","1000.51","18.60"
"10","10069","150122","PE","Subgerencia de Desarrollo Ambiental","4/1/2021 9:00","2342.67","11.01","23.71","22.04","12.13","4.73","37.32","82.94","0.55","96.10","-12.04028","-77.04361","1000.98","19.71"
